#filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
bottle (4).jpg,107933,"{}",1,0,"{""name"":""polygon"",""all_points_x"":[218,232,232,246,262,270,273,284,289,282,282,320,329,331,309,283,264,253,244,210,203,191,186,180,179,184,201,227,224,218,217,220,218],""all_points_y"":[51,38,30,25,24,30,40,45,107,112,124,160,171,553,595,603,585,585,604,599,585,578,563,473,174,165,146,129,114,104,88,86,51]}","{""class"":""bottle""}"
bottle (9).jpg,78033,"{}",1,0,"{""name"":""polygon"",""all_points_x"":[545,562,585,585,583,605,611,615,609,606,611,615,616,609,602,537,518,515,522,525,521,514,512,515,538,547,547,540,545],""all_points_y"":[156,151,159,191,200,231,246,353,369,416,445,465,489,506,515,522,509,470,438,413,381,364,264,249,206,202,195,193,156]}","{""class"":""bottle""}"
bottle (10).jpg,411016,"{}",1,0,"{""name"":""polygon"",""all_points_x"":[408,432,458,520,677,710,746,799,846,881,883,874,870,861,850,833,790,680,665,639,616,478,443,435,422,410,408],""all_points_y"":[318,304,319,302,349,381,386,397,413,431,453,485,513,529,552,562,560,517,498,488,487,423,353,349,346,331,318]}","{""class"":""bottle""}"
bottle (13).jpg,44643,"{}",1,0,"{""name"":""polygon"",""all_points_x"":[324,322,329,341,371,390,394,394,394,384,396,411,427,439,449,452,449,438,436,436,443,446,446,438,447,459,457,438,390,338,308,284,264,262,267,273,278,277,268,268,279,263,259,266,329,334,326,323,324],""all_points_y"":[134,101,92,89,89,92,110,127,137,148,160,175,197,218,245,267,307,319,323,330,343,374,380,426,581,592,617,636,642,648,641,637,616,612,587,575,379,370,365,356,331,302,273,243,145,135,125,119,134]}","{""class"":""bottle""}"
laptop (8).jpg,40022,"{}",2,0,"{""name"":""polygon"",""all_points_x"":[184,205,217,244,214,185,184],""all_points_y"":[162,170,164,99,87,153,162]}","{""class"":""mobile""}"
laptop (8).jpg,40022,"{}",2,1,"{""name"":""polygon"",""all_points_x"":[197,290,306,429,366,237,197],""all_points_y"":[50,86,77,123,177,126,50]}","{""class"":""laptop""}"
laptop (9).jpg,20314,"{}",2,0,"{""name"":""polygon"",""all_points_x"":[92,98,344,350,369,458,458,185,110,92],""all_points_y"":[38,31,17,23,192,253,259,288,225,38]}","{""class"":""laptop""}"
laptop (9).jpg,20314,"{}",2,1,"{""name"":""polygon"",""all_points_x"":[57,102,140,95,57],""all_points_y"":[262,255,291,300,262]}","{""class"":""mobile""}"
laptop (10).jpg,46533,"{}",2,0,"{""name"":""polygon"",""all_points_x"":[165,205,317,323,314,314,317,313,175,176,179,165],""all_points_y"":[137,137,135,137,181,184,279,281,282,185,183,137]}","{""class"":""laptop""}"
laptop (10).jpg,46533,"{}",2,1,"{""name"":""polygon"",""all_points_x"":[418,438,440,475,470,447,412,418],""all_points_y"":[221,211,209,268,275,289,227,221]}","{""class"":""mobile""}"
laptop (11).jpg,27326,"{}",2,0,"{""name"":""polygon"",""all_points_x"":[153,188,239,241,201,155,153],""all_points_y"":[121,107,196,200,222,129,121]}","{""class"":""mobile""}"
laptop (11).jpg,27326,"{}",2,1,"{""name"":""polygon"",""all_points_x"":[101,309,318,399,234,172,115,92,101],""all_points_y"":[31,3,131,233,286,299,191,35,31]}","{""class"":""laptop""}"
laptop (13).jpg,37285,"{}",1,0,"{""name"":""polygon"",""all_points_x"":[110,115,212,220,221,217,210,114,108,110],""all_points_y"":[162,154,159,166,193,208,212,210,201,162]}","{""class"":""mobile""}"
laptop (15).jpg,42668,"{}",2,0,"{""name"":""polygon"",""all_points_x"":[270,306,309,272,270],""all_points_y"":[186,185,239,245,186]}","{""class"":""mobile""}"
laptop (15).jpg,42668,"{}",2,1,"{""name"":""polygon"",""all_points_x"":[433,481,589,588,549,497,369,433],""all_points_y"":[100,48,129,167,193,271,188,100]}","{""class"":""laptop""}"
mobile (7).jpg,16200,"{}",1,0,"{""name"":""polygon"",""all_points_x"":[18,103,158,58,18],""all_points_y"":[239,227,271,285,239]}","{""class"":""mobile""}"
mobile (8).jpg,16042,"{}",1,0,"{""name"":""polygon"",""all_points_x"":[91,376,426,128,91],""all_points_y"":[200,47,143,298,200]}","{""class"":""mobile""}"
mobile (9).jpg,16383,"{}",1,0,"{""name"":""polygon"",""all_points_x"":[377,385,445,424,340,377],""all_points_y"":[69,57,54,121,152,69]}","{""class"":""mobile""}"
paperwork-3154814--340.jpg,35884,"{}",2,0,"{""name"":""polygon"",""all_points_x"":[138,339,334,336,157,154,138],""all_points_y"":[171,169,188,313,315,189,171]}","{""class"":""laptop""}"
paperwork-3154814--340.jpg,35884,"{}",2,1,"{""name"":""polygon"",""all_points_x"":[462,499,499,462,462],""all_points_y"":[227,227,309,308,227]}","{""class"":""mobile""}"
shoe (2).jpg,22623,"{}",2,0,"{""name"":""polygon"",""all_points_x"":[164,201,201,187,202,232,278,287,288,288,278,261,224,229,196,187,180,164],""all_points_y"":[280,270,259,256,251,285,283,287,292,299,315,328,332,336,349,344,301,280]}","{""class"":""shoe""}"
shoe (2).jpg,22623,"{}",2,1,"{""name"":""polygon"",""all_points_x"":[148,194,201,217,228,266,271,268,257,207,203,161,166,168,148],""all_points_y"":[382,369,369,402,412,420,434,446,453,451,460,458,416,408,382]}","{""class"":""shoe""}"
shoe (3).jpg,70752,"{}",1,0,"{""name"":""polygon"",""all_points_x"":[178,198,210,241,266,294,342,355,367,444,549,577,607,607,601,475,453,377,342,284,180,171,178],""all_points_y"":[338,327,293,266,253,240,200,171,140,85,50,101,238,272,289,349,388,429,447,450,399,384,338]}","{""class"":""shoe""}"
